duration_min,active_energy_kcal,basal_energy_kcal,distance_mi,is_indoor,avg_mets,weather_temp_f,weather_humidity_pct,workout_type_encoded,start_timestamp_year,start_timestamp_month,start_timestamp_day,start_timestamp_hour,start_timestamp_minute,start_timestamp_weekday,end_timestamp_year,end_timestamp_month,end_timestamp_day,end_timestamp_hour,end_timestamp_minute,end_timestamp_weekday,has_distance,time_zone_encoded
48.62207515041033,147.321,59.384,0.0,1.0,4.50203,53.6,55.0,13,2022,5,9,9,14,0,2022,5,9,10,2,0,0,4
11.5254391849041,15.3407,13.864,0.186744,0.0,2.57155,59.0,39.0,14,2022,5,9,12,24,0,2022,5,9,12,36,0,1,4
33.52777198354404,62.2234,40.8938,0.0,1.0,3.05965,57.2,45.0,15,2022,5,9,18,7,0,2022,5,9,18,41,0,0,4
45.94877488414446,152.465,56.0989,0.0,1.0,4.82346,48.2,67.0,5,2022,5,10,8,2,1,2022,5,10,8,48,1,0,4
4.892825450499853,12.9915,5.89791,0.0,0.0,4.13439,51.8,61.0,1,2022,5,10,8,48,1,2022,5,10,8,53,1,0,4
17.19611235062281,20.545,20.9373,0.0,1.0,2.20146,55.4,54.0,15,2022,5,10,19,4,1,2022,5,10,19,21,1,0,4
44.509096600612,101.956,54.3972,0.0,1.0,3.67574,62.6,65.0,13,2022,5,11,15,18,2,2022,5,11,16,3,2,0,4
34.75797293186188,56.2353,42.3414,0.0,1.0,2.51014,55.4,59.0,15,2022,5,11,19,42,2,2022,5,11,20,20,2,0,4
45.90429715116819,233.862,55.7581,0.0,1.0,6.72983,62.6,47.0,5,2022,5,12,12,27,3,2022,5,12,13,13,3,0,4
4.4686295012633,15.241,5.36068,0.0,0.0,4.96666,62.6,45.0,1,2022,5,12,13,14,3,2022,5,12,13,18,3,0,4
36.2895245830218,159.073,44.2443,0.0,1.0,5.95263,53.6,77.0,5,2022,5,13,8,23,4,2022,5,13,8,59,4,0,4
1.100618433952331,3.25251,1.14157,0.0,0.0,5.10333,57.2,70.0,1,2022,5,13,8,59,4,2022,5,13,9,1,4,0,4
44.13036915063858,186.175,53.834,0.0,1.0,5.76967,71.6,57.0,5,2022,5,14,12,42,5,2022,5,14,13,26,5,0,0
4.279682032267252,13.086,5.148,0.0,0.0,4.58699,71.6,56.0,1,2022,5,14,13,27,5,2022,5,14,13,31,5,0,0
41.93955404957136,173.153,51.1252,0.0,1.0,5.67571,64.4,74.0,5,2022,5,14,21,57,5,2022,5,14,22,39,5,0,0
3.757105932633082,10.8898,4.47007,0.0,0.0,4.45807,66.2,70.0,1,2022,5,14,22,39,5,2022,5,14,22,43,5,0,0
14.99817281564077,0.0,0.0,0.0,1.0,3.46337,64.4,81.0,15,2022,5,15,21,51,6,2022,5,15,22,6,6,0,13
40.10472616751989,164.029,48.8622,0.0,1.0,5.64208,64.4,79.0,5,2022,5,15,22,7,6,2022,5,15,22,47,6,0,0
3.083537216981252,10.0437,3.63438,0.0,0.0,4.89618,64.4,73.0,1,2022,5,15,22,47,6,2022,5,15,22,51,6,0,0
12.71198840141296,24.168,15.4828,0.0,1.0,3.27589,64.4,78.0,15,2022,5,16,21,36,0,2022,5,16,21,49,0,0,0
37.36653306682904,163.325,45.5741,0.0,1.0,5.93531,64.4,78.0,5,2022,5,16,21,54,0,2022,5,16,22,31,0,0,0
4.655453817049662,11.4227,5.54562,0.0,0.0,3.9498,66.2,72.0,1,2022,5,16,22,32,0,2022,5,16,22,36,0,0,0
14.57969550093015,30.7092,17.7583,0.0,1.0,3.46663,66.2,80.0,15,2022,5,17,21,41,1,2022,5,17,21,56,1,0,0
41.01029691696167,131.465,50.024,0.0,1.0,4.70141,68.0,80.0,5,2022,5,17,21,57,1,2022,5,17,22,38,1,0,0
3.810115500291189,8.68708,4.57623,0.0,0.0,3.76976,69.8,78.0,1,2022,5,17,22,38,1,2022,5,17,22,42,1,0,0
40.85380414923032,162.331,49.8065,0.0,1.0,5.51824,69.8,67.0,5,2022,5,18,22,26,2,2022,5,18,23,7,2,0,0
